"Shard","Speed_Limit","Count"
"1","2",6198
"2","2",6232
"3","2",6161
"4","2",6175
"5","2",6123
"6","2",6172
"7","2",6123
"8","2",6205
"9","2",6205
"10","2",6215
"1","1",160
"2","1",163
"3","1",143
"4","1",169
"5","1",145
"6","1",156
"7","1",182
"8","1",170
"9","1",161
"10","1",139
"1","3",685
"2","3",647
"3","3",729
"4","3",700
"5","3",734
"6","3",679
"7","3",701
"8","3",672
"9","3",705
"10","3",719
"1","4",255
"2","4",272
"3","4",279
"4","4",240
"5","4",248
"6","4",244
"7","4",237
"8","4",263
"9","4",245
"10","4",233
"1","5",736
"2","5",693
"3","5",676
"4","5",712
"5","5",722
"6","5",721
"7","5",742
"8","5",709
"9","5",672
"10","5",683
"1","6",201
"2","6",228
"3","6",247
"4","6",239
"5","6",262
"6","6",262
"7","6",249
"8","6",215
"9","6",246
"10","6",245
