"","(Intercept)","road_typedual carriageway","road_typeone way street (from 2005)","road_typeroundabout","road_typeslip road (from 2005)","speed_limit1","speed_limit3","speed_limit4","speed_limit5","speed_limit6"
"(Intercept)",1,-0.217111020307805,-0.16237061349305,-0.241085957263497,-0.0641735715778845,-0.161854664700224,-0.239395201131988,-0.15993091392564,-0.351784997244106,-0.0659356378318983
"road_typedual carriageway",-0.217111020307805,1,0.038319849424687,0.1747922359723,0.13957259300933,0.0232756410533024,-0.219116085255565,-0.153848792664834,0.00902877365910919,-0.387723562229456
"road_typeone way street (from 2005)",-0.16237061349305,0.038319849424687,1,0.0422513944733397,0.0114560913047734,-0.0481643937732555,0.032585210108098,0.0239536686012169,0.0520778460927631,0.00897146610862586
"road_typeroundabout",-0.241085957263497,0.1747922359723,0.0422513944733397,1,0.0747016458097365,0.0231208970117431,-0.128883480528662,-0.084919442606286,-0.0408649976033311,-0.147547594209938
"road_typeslip road (from 2005)",-0.0641735715778845,0.13957259300933,0.0114560913047734,0.0747016458097365,1,0.00641002174210491,-0.0468349445856544,-0.0679730617925237,-0.0305679551566125,-0.272439410708292
"speed_limit1",-0.161854664700224,0.0232756410533024,-0.0481643937732555,0.0231208970117431,0.00641002174210491,1,0.0448916911827423,0.0299443896473437,0.0600030658239392,0.0178028131159036
"speed_limit3",-0.239395201131988,-0.219116085255565,0.032585210108098,-0.128883480528662,-0.0468349445856544,0.0448916911827423,1,0.109171158580931,0.123344661593656,0.152817012279788
"speed_limit4",-0.15993091392564,-0.153848792664834,0.0239536686012169,-0.084919442606286,-0.0679730617925237,0.0299443896473437,0.109171158580931,1,0.0840707188178013,0.112985040755569
"speed_limit5",-0.351784997244106,0.00902877365910919,0.0520778460927631,-0.0408649976033311,-0.0305679551566125,0.0600030658239392,0.123344661593656,0.0840707188178013,1,0.0744118862692906
"speed_limit6",-0.0659356378318983,-0.387723562229456,0.00897146610862586,-0.147547594209938,-0.272439410708292,0.0178028131159036,0.152817012279788,0.112985040755569,0.0744118862692906,1
