"Setting","Value"
"Observations after preprocessing","82344"
"Original observations","82570"
"Number of coefficients","10"
"Full-data MCMC iterations","1e+05"
"Burn-in fraction","0.2"
"Full-data burn-in iterations","20000"
"Number of shards","10"
"CMC shard MCMC iterations","1e+05"
"CMC shard burn-in iterations","20000"
"Full-data RWMH tuning factor","0.75"
"Full-data IMH tuning factor","1.5"
"CMC-RWMH tuning factor","0.75"
"CMC-IMH tuning factor","1.5"
"Response event coded as 1","serious_fatal"
"Response reference class coded as 0","slight"
"Road type reference category","single carriageway"
"Speed limit reference category","2"
